ID,Action,Question,Options
0,KEEP,"Why does the lapse rate effect the tendency of air to rise?","A. (a)   |   B. (b)   |   C. (c)   |   D. (d)"
1,KEEP,"The thorax is the upper part of your body from the neck down to the bottom of the ribs and diaphragm.","A. (a)   |   B. (b)   |   C. (c)   |   D. (d)"
2,KEEP,"Early cities rely on food and water from the surrounding countryside, but today cities often depend on distant sources.","A. (a)   |   B. (b)   |   C. (c)   |   D. (d)"
3,KEEP,"Climate change, whether it is natural or human-induced, is stressful for the people.","A. (a)   |   B. (b)   |   C. (c)   |   D. (d)"
4,KEEP,"Which one from among the following planets is largest in size?","A. Earth   |   B. Venus   |   C. Mars   |   D. Mercury"
5,KEEP,"Match List I with List II and select the correct answer using the code given below the lists: List I (Place) A. Mumbai B. Visakhapatnam C. Chennai D. Kochi List II (Feature) 1. Queen of the Arabian Sea 2. Biggest port of India 3. Land-locked harbour 4. Oldest port on the Eastern Coast","A. A-2, B-4, C-3, D-1   |   B. A-2, B-3, C-4, D-1   |   C. A-1, B-3, C-4, D-2   |   D. A-1, B-4, C-3, D-2"
6,KEEP,"Which one of the following is a crater lake in India?","A. Lonar Lake   |   B. Sambhar Lake   |   C. Chilika Lake   |   D. Vembanad Lake"
7,KEEP,"Fine-grained bed of ephemeral lake in a desert is also known as","A. Playa   |   B. Oasis   |   C. Drumlin   |   D. Natural levee"
8,KEEP,"Which one of the following factors does not affect the distribution of groundwater?","A. Amount of precipitation   |   B. Rate of evaporation   |   C. Ability of the ground surface to allow water to infiltrate into the groundwater system   |   D. Distance from the sea"
9,KEEP,"The Constitution (35th Amendment) Act of 1974 is related to which one of the following States?","A. Mizoram   |   B. Sikkim   |   C. Nagaland   |   D. Arunachal Pradesh"
10,KEEP,"Which one of the following best describes the electoral system of India?","A. First-Past-The-Post System   |   B. Proportional Representation   |   C. Mixed System   |   D. General Ticket"
11,KEEP,"Which one of the following is a non-justiciable right?","A. Right to adequate livelihood   |   B. Right against exploitation   |   C. Right of accused   |   D. Right to life and personal liberty"
12,KEEP,"Which one of the following is not a writ?","A. Mandamus   |   B. Habeas Corpus   |   C. Certiorari   |   D. Severability"
13,KEEP,"Which one of the following is not a part of Fundamental Rights?","A. Right to education   |   B. Right to establish educational institutions by minorities   |   C. Right to be conferred with titles   |   D. Right against untouchability"
14,KEEP,"Which one of the following is not a function of the Constitution of India?","A. To ensure participation of good people in politics   |   B. To guarantee a set of rights to citizens   |   C. To define the power of the different organs of government   |   D. To create conditions for a just society"
