Subject,Topic,Start Page,End Page,File Name,Total Pages,Contains Answers,AI Enrichment Flag
Mathematics,CDS Solved Paper 2020 I,40,78,40_CDS_Solved_Paper_2020_I.md,5,TRUE,TRUE
Mathematics,CDS Solved Paper 2019 II,1,40,1_CDS_Solved_Paper_2019_II.md,5,TRUE,TRUE
Mathematics,CDS Solved Paper 2019 I,41,82,41_CDS_Solved_Paper_2019_I.md,5,TRUE,TRUE
Mathematics,CDS Solved Paper 2018 II,1,37,1_CDS_Solved_Paper_2018_II.md,5,TRUE,TRUE
Mathematics,Number System,3,19,3_Number_System.md,5,TRUE,TRUE
Mathematics,Sequence and Series,20,24,20_Sequence_and_Series.md,5,TRUE,TRUE
Mathematics,HCF and LCM of Numbers,25,31,25_HCF_and_LCM_of_Numbers.md,5,TRUE,TRUE
Mathematics,Decimal Fractions,32,37,32_Decimal_Fractions.md,5,TRUE,TRUE
Mathematics,Square Roots and Cube Roots,38,46,38_Square_Roots_and_Cube_Roots.md,5,TRUE,TRUE
Mathematics,Time and Distance,47,59,47_Time_and_Distance.md,5,TRUE,TRUE
Mathematics,Time and Work,60,68,60_Time_and_Work.md,5,TRUE,TRUE
Mathematics,Percentage,69,76,69_Percentage.md,5,TRUE,TRUE
Mathematics,Simple Interest,77,82,77_Simple_Interest.md,5,TRUE,TRUE
Mathematics,Compound Interest,83,91,83_Compound_Interest.md,5,TRUE,TRUE
Mathematics,Profit and Loss,92,100,92_Profit_and_Loss.md,5,TRUE,TRUE
Mathematics,Ratio and Proportion,101,112,101_Ratio_and_Proportion.md,5,TRUE,TRUE
Mathematics,Logarithm,113,119,113_Logarithm.md,5,TRUE,TRUE
