question_id,question_text,exam,paper,subject,chapter,topic,subtopic,difficulty,question_type,skip,skip_reason
Q_0_0,What is the principal value of sin⁻¹(sin(2π/3))?,NDA,Mathematics,Inverse Trigonometric Functions,Inverse Trigonometric Functions,Principal Value Branches,Properties of Inverse Trigonometric Functions,Medium,MCQ,FALSE,
Q_0_1,"If y = ln(sec x + tan x), what is dy/dx?",NDA,Mathematics,Differential Calculus,Differential Calculus (Maxima-Minima),Differentiation,Logarithmic and Trigonometric Differentiation,Medium,MCQ,FALSE,
Q_0_2,What is the value of cot 15°?,NDA,Mathematics,Trigonometric Functions,Trigonometric Functions,Trigonometric Ratios of Compound Angles,"Specific angle values (e.g., 15°, 75°)",Medium,MCQ,FALSE,
Q_0_3,"If A is a square matrix of order 3 and |A| = 4, then what is the value of |adj A|?",NDA,Mathematics,Matrices and Determinants,Matrices and Determinants,Determinants,Properties of Adjoint Matrix,Easy,MCQ,FALSE,
Q_0_4,What is the limit: lim(x→0) (e^x - e^-x) / sin x?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Limits,Indeterminate Forms (L'Hopital's Rule),Medium,MCQ,FALSE,
Q_0_5,What is the projection of vector a = 2i + 3j + 2k on vector b = i + 2j + k?,NDA,Mathematics,Vectors,Vectors,Scalar Product of Vectors,Projection of a vector,Medium,MCQ,FALSE,
Q_0_6,The value of ∫[0 to π/2] sin³x / (sin³x + cos³x) dx is equal to:,NDA,Mathematics,Integral Calculus,Integral Calculus,Definite Integrals,Properties of Definite Integrals,Medium,MCQ,FALSE,
Q_0_7,"If tan⁻¹(x) + tan⁻¹(y) = π/4, then what is x + y + xy equal to?",NDA,Mathematics,Inverse Trigonometric Functions,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Sum/Difference formulas,Medium,MCQ,FALSE,
Q_0_8,What is the degree of the differential equation: (d²y/dx²)³ + (dy/dx)² + sin(dy/dx) + 1 = 0?,NDA,Mathematics,Differential Equations,Differential Equations,Order and Degree of Differential Equations,Degree of a differential equation,Easy,MCQ,FALSE,
Q_0_9,"In how many ways can a committee of 5 members be formed from 6 gentlemen and 4 ladies, if it must contain at least 2 ladies?",NDA,Mathematics,Algebra,Sequences and Series,Permutations and Combinations,Combinations with conditions,Medium,MCQ,FALSE,
Q_0_10,Find the general solution of the differential equation dy/dx = y/x.,NDA,Mathematics,Differential Equations,Differential Equations,Solution of Differential Equations,Variable Separable Method,Easy,MCQ,FALSE,
Q_0_11,"If sin A = 3/5, where A lies in the second quadrant, what is the value of cos A?",NDA,Mathematics,Trigonometric Functions,Trigonometric Functions,Trigonometric Ratios,Quadrant rules and identities,Easy,MCQ,FALSE,
Q_0_12,What is the sum of the coefficients of the polynomial (1 - 3x + 3x²)¹⁰⁰?,NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Polynomials,Sum of coefficients of a polynomial,Easy,MCQ,FALSE,
Q_0_13,"If A and B are two events such that P(A) = 0.4, P(B) = 0.5 and P(A ∩ B) = 0.2, what is P(A|B) equal to?",NDA,Mathematics,Probability,Statistics and Probability,Conditional Probability,Basic probability theorems,Easy,MCQ,FALSE,
Q_0_14,What is the derivative of x^x with respect to x?,NDA,Mathematics,Differential Calculus,Differential Calculus (Maxima-Minima),Differentiation,Logarithmic Differentiation,Medium,MCQ,FALSE,
Q_0_15,What is the principal value of sin⁻¹(sin(2π/3))?,NDA,Mathematics,Inverse Trigonometric Functions,Inverse Trigonometric Functions,Principal Value Branches,Properties of Inverse Trigonometric Functions,Medium,MCQ,FALSE,
